,datum,station_code,aspect,elevation,lon,lat,avalancheDay1,max_height,TSS_mod,prop_base_3_diff,ILWR_daily,RH_daily,ISWR_diff_daily,prop_base_1_diff,prop_wet_2_diff,prop_wet_3_diff,max_height_3_diff,lowest_2_diff,mean_lwc_3_diff,ISWR_h,mean_lwc_1_diff,max_lwc_lowest_1_diff,lowest_1_diff,OLWR,max_lwc_1_diff,sum_up_1_diff,S5,TA_daily,sum_base_1_diff,sum_up,Qs,ISWR_daily,max_lwc_2_diff,max_lwc_lowest_2_diff,max_lwc_3_diff,OLWR_daily,sum_base_3_diff,Ql,max_height_1_diff,sum_base,Qw_daily,prop_up,water_2_diff,prop_up_2_diff,MS_Sublimation,prop_wet_1_diff,sum_up_2_diff,prop_wet,RH,prop_base_2_diff,TA,lowest,std_lwc_1_diff,max_lwc,std_lwc_2_diff,prop_up_3_diff,MS_Snow_daily,prop_up_1_diff,lowest_3_diff,ISWR_dir,TSS_mod_daily,S5_daily,max_lwc_lowest,MS_Sublimation_daily,std_lwc_3_diff,LWR_net,max_height_2_diff,mean_lwc_2_diff,pAlbedo,sum_up_3_diff,max_lwc_lowest_3_diff,std_lwc,ILWR,water_3_diff,Ql_daily,water,ISWR_dir_daily,zS4_daily,ISWR_h_daily,mean_lwc,prop_base,ISWR_diff,SWE_daily,zSs_daily,HS_mod_daily,water_1_diff,sum_base_2_diff,MS_Rain_daily,MS_Rain,profile_time,RF12_AvD_proba
10,2021-12-21,DAV4,4,2330,9.78470275758155,46.7841947486778,0,85.16,-10.728,0.0,168.5425,27.265,14.356875,0.0,0.0,-0.0643874643874644,-2.5900000000000034,0.0,-0.025,185.69799999999998,0.0,0.0,0.0,263.54200000000003,0.0,0.0,0.0,-4.01625,0.0,0.0,27.691999999999997,90.957375,0.0,0.0,-0.6,243.829125,0.0,-9.16,-0.4800000000000039,0.0,17.002125,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,29.04,0.0,-3.53,0.0,0.0,0.0,0.0,-0.4121079504011676,0.0,0.0,-3.8700000000000045,401.81699999999995,-15.818,0.0,0.0,-0.00175,-0.1120410259206943,-90.559,-1.9099999999999968,0.0,0.81,-1.2000000000000002,-2.1700000000000017,0.0,176.50799999999995,-1.2,-3.889,0.0,76.6005,43.37600000000001,73.586625,0.0,0.0,37.426,238.1485,43.37600000000001,85.2675,0.0,0.0,0.0,0.0,15:00:00,0.0
11,2022-01-10,DAV4,4,2330,9.78470275758155,46.7841947486778,0,114.36,-15.78,0.0,211.28975,80.1875,5.53475,0.0,0.0,0.0,15.799999999999995,0.0,0.0,22.45300000000001,0.0,0.0,0.0,243.828,0.0,0.0,0.0,-12.822499999999998,0.0,0.0,24.801,5.53475,0.0,0.0,0.0,241.6975,0.0,2.145,12.650000000000004,0.0,0.5535,0.0,0.0,0.0,0.001,0.0,0.0,0.0,83.43,0.0,-13.23,0.0,0.0,0.0,0.0,0.0,0.0595,0.0,0.0,0.0,-16.355999999999998,0.0,0.0,0.00125,0.0,-30.408,14.099999999999996,0.0,0.9,0.0,0.0,0.0,217.769,0.0,2.40825,0.0,0.0,78.62899999999998,5.6132500000000025,0.0,0.0,22.139,285.48575,78.62899999999998,114.56425,0.0,0.0,0.0,0.0,9:00:00,0.0007110720120648487
12,2022-04-09,DAV4,4,2330,9.78470275758155,46.7841947486778,0,120.05,-6.763,0.0,240.31614285714284,81.74428571428572,73.85942857142858,0.0,0.0633618082269907,0.0726842193669055,3.0399999999999916,1.7099999999999935,-0.1223552123552123,0.099,-0.0629504504504504,0.0,0.0,279.834,-0.5,1.4,0.065,-6.9642857142857135,0.0,1.4,50.333999999999996,295.30657142857143,-1.2999999999999998,-3.1800000000000064,-0.6000000000000001,274.8555714285714,0.0,10.855,-0.0799999999999983,0.0,36.90971428571429,0.7576687116564418,-14.000000000000002,0.444045957165424,0.005,0.0822979534214859,-1.8,0.2056643065389421,78.39,0.0,-2.28,29.39999999999999,-0.1972732867549078,2.5,-0.5051185583839862,-0.1503198760753685,0.213,0.7576687116564418,11.559999999999988,0.0,-7.975714285714287,0.0497142857142857,24.50999999999999,-0.0048571428571428,-0.3133052801355602,-82.359,1.5699999999999932,-0.2042063189950514,0.9,-12.699999999999998,10.48999999999998,0.5182364793224764,201.5,-7.9,-13.361142857142855,12.3,221.44685714285717,70.31714285714285,285.76357142857137,0.1662162162162162,0.0,0.099,417.829,70.31714285714285,122.90242857142857,-4.200000000000001,0.0,0.0,0.0,0:00:00,0.033970808963124335
13,2022-01-17,DAV4,4,2330,9.78470275758155,46.7841947486778,0,104.6,-8.595,0.0,264.034625,93.885,24.688875,0.0,-0.0640493777193159,-0.0652502265632867,5.289999999999992,-5.8900000000000015,-0.0214285714285714,82.789,0.0,0.0,0.0,272.21299999999997,0.0,0.0,0.0,-9.03375,0.0,0.0,-0.589,25.74425,-0.4,-1.4399999999999975,-0.4,267.871375,0.0,-4.3,6.3900000000000015,0.0,2.574375,0.0,-1.3000000000000005,-0.4297352342158857,-0.002,0.0,-1.3,0.0,95.5,0.0,-8.64,0.0,0.0,0.0,-0.0914351661582654,-0.4605543710021322,0.278375,0.0,-6.040000000000006,6.9129999999999985,-9.6605,0.0,0.0,-0.000375,-0.0846689504412991,-3.634,5.769999999999996,-0.0232142857142857,0.9,-1.2000000000000002,-1.4800000000000042,0.0,274.05400000000003,-1.2000000000000002,-0.640625,0.0,1.05525,77.62325,25.445,0.0,0.0,79.6,279.162375,77.62325,102.589,0.0,0.0,0.0,0.0,15:00:00,0.0
14,2022-01-09,DAV4,4,2330,9.78470275758155,46.7841947486778,0,103.41,-11.690999999999999,0.0,245.961375,87.7075,31.76275,0.0,0.0,0.0,4.549999999999997,0.0,0.0,173.935,0.0,0.0,0.0,259.693,0.0,0.0,0.0,-10.6975,0.0,0.0,2.194,63.48112500000001,0.0,0.0,0.0,258.665,0.0,-5.504,3.269999999999996,0.0,6.3481250000000005,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,92.94,0.0,-11.56,0.0,0.0,0.0,0.0,0.0,0.1907499999999999,0.0,0.0,214.34599999999998,-11.96225,0.0,0.0,-0.00125,0.0,-24.691999999999997,5.1400000000000015,0.0,0.9,0.0,0.0,0.0,239.791,0.0,-3.0558749999999995,0.0,31.7185,78.81075,51.5555,0.0,0.0,82.29299999999998,273.307875,78.81075,102.573125,0.0,0.0,0.0,0.0,15:00:00,0.0
15,2022-01-23,DAV4,4,2330,9.78470275758155,46.7841947486778,0,106.48,-11.828,0.0,185.4488333333333,58.99500000000001,24.33383333333333,0.0,0.0,0.0,0.9399999999999976,0.0,0.0,277.836,0.0,0.0,0.0,259.15,0.0,0.0,0.0,-6.2283333333333335,0.0,0.0,23.173000000000002,139.90883333333332,0.0,0.0,0.0,238.99316666666664,0.0,-3.141,1.9100000000000108,0.0,21.198833333333337,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,39.87,0.0,-4.2,0.0,0.0,0.0,0.0,0.0,0.0144999999999999,0.0,0.0,467.898,-17.202500000000004,0.0,0.0,0.0016666666666666,0.0,-81.483,1.7600000000000051,0.0,0.8440000000000001,0.0,0.0,0.0,181.28900000000002,0.0,3.4291666666666663,0.0,115.57516666666668,82.16983333333333,127.2155,0.0,0.0,49.742,287.906,82.16983333333333,106.5095,0.0,0.0,0.0,0.0,15:00:00,0.004828272507893749
16,2022-01-12,DAV4,4,2330,9.78470275758155,46.7841947486778,0,101.2,-11.075,0.0,165.5115,27.935,21.477666666666664,0.0,0.0,0.0,-2.1299999999999955,0.0,0.0,234.043,0.0,0.0,0.0,262.14799999999997,0.0,0.0,0.0,-8.266666666666667,0.0,0.0,36.864000000000004,128.51649999999998,0.0,0.0,0.0,238.87866666666665,0.0,-24.56900000000001,-0.539999999999992,0.0,22.215999999999998,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,30.11,0.0,-6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.416,-17.173333333333336,0.0,0.0,-0.0036666666666666,0.0,-84.109,-1.019999999999996,0.0,0.8270000000000001,0.0,0.0,0.0,181.669,0.0,-8.846833333333334,0.0,107.039,78.30783333333333,113.10916666666668,0.0,0.0,44.731,276.6073333333333,78.30783333333333,101.40833333333332,0.0,0.0,0.0,0.0,15:00:00,0.0
17,2022-01-29,DAV4,4,2330,9.78470275758155,46.7841947486778,0,105.7,-9.554,0.0,222.58416666666668,51.90666666666666,27.0745,0.0,0.0,0.0,0.3400000000000034,0.0,0.0,300.892,0.0,0.0,0.0,268.291,0.0,0.0,0.0,-8.185,0.0,0.0,29.552,142.22533333333334,0.0,0.0,0.0,260.0303333333333,0.0,-11.370999999999999,-0.7800000000000011,0.0,16.570833333333333,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,63.37,0.0,-6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.57199999999995,-11.629833333333332,0.0,0.0,-0.0073333333333333,0.0,-72.881,0.9600000000000078,0.0,0.8759999999999999,0.0,0.0,0.0,199.393,0.0,-17.46233333333333,0.0,115.15083333333332,81.49183333333333,130.142,0.0,0.0,58.19,290.1843333333333,81.49183333333333,106.03283333333331,0.0,0.0,0.0,0.0,15:00:00,0.0
18,2022-01-26,DAV4,4,2330,9.78470275758155,46.7841947486778,0,105.29,-10.026,0.0,172.56474999999998,42.805,19.24575,0.0,-0.0397775473654444,0.0,-1.2699999999999958,-4.530000000000001,0.0,291.504,0.0,0.0,0.0,266.373,0.0,0.0,0.0,-3.91,0.0,0.0,41.86,108.546,-0.2,-2.200000000000003,0.0,247.55325,0.0,-7.874,-0.3099999999999881,0.0,12.368875,0.0,-0.3,-0.3170548459804657,-0.003,0.0,-0.3,0.0,46.07,0.0,-3.82,0.0,0.0,0.0,-0.0289096619904101,0.0,0.0,0.0,0.0,479.881,-14.84575,0.0,0.0,0.000625,0.0,-83.991,-0.7999999999999972,-0.0050847457627118,0.8809999999999999,0.0,0.0,0.0,186.09900000000002,0.0,1.473,0.0,89.300375,81.80550000000002,99.824,0.0,0.0,51.271,288.6185000000001,81.80550000000002,105.367125,0.0,0.0,0.0,0.0,15:00:00,0.0
19,2022-02-15,DAV4,4,2330,9.78470275758155,46.7841947486778,0,141.41,-7.706,0.0,273.3693333333333,94.94166666666666,74.49733333333333,0.0,0.0,0.0,12.419999999999987,0.0,0.0,201.889,0.0,0.0,0.0,275.893,0.0,0.0,0.0,-7.201666666666667,0.0,0.0,-10.093,92.55983333333332,0.0,0.0,0.0,275.1508333333333,0.0,-11.610999999999999,14.049999999999995,0.0,9.256,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,97.13,0.0,-8.12,0.0,0.0,0.0,0.0,0.0,0.6346666666666667,0.0,0.0,69.801,-7.885666666666667,0.0,0.0,-0.001,0.0,-1.7180000000000002,13.289999999999992,0.0,0.9,0.0,0.0,0.0,279.764,0.0,-2.602666666666667,0.0,18.0625,96.82816666666668,92.21583333333336,0.0,0.0,161.35299999999995,376.8085,96.82816666666668,138.47466666666668,0.0,0.0,0.0,0.0,15:00:00,0.0111753935064653
