,datum,station_code,aspect,elevation,lon,lat,avalancheDay1,Unnamed: 0.1.1,prop_wet,zSs_daily,max_lwc_lowest_1_diff,Qw_daily,MS_Rain,ISWR_h,zS4_daily,LWR_net,mean_lwc_1_diff,ISWR_diff_daily,sum_up_1_diff,lowest_1_diff,sum_up_2_diff,Ql,ISWR_dir_daily,std_lwc_3_diff,water_3_diff,prop_base,max_lwc_1_diff,MS_Sublimation_daily,SWE_daily,max_lwc,sum_base_3_diff,water,prop_base_3_diff,mean_lwc_3_diff,max_height_3_diff,lowest_2_diff,OLWR,max_lwc_lowest_2_diff,ISWR_diff,lowest,prop_up_2_diff,max_lwc_2_diff,sum_base_1_diff,mean_lwc,prop_base_2_diff,TSS_mod_daily,max_height_1_diff,max_height,lowest_3_diff,max_lwc_lowest_3_diff,HS_mod_daily,ISWR_daily,max_lwc_lowest,std_lwc_2_diff,std_lwc_1_diff,sum_up,TSS_mod,prop_up_1_diff,S5_daily,prop_wet_2_diff,water_1_diff,ILWR,mean_lwc_2_diff,RH,S5,Qs,max_lwc_3_diff,ISWR_h_daily,prop_up,sum_base_2_diff,pAlbedo,Ql_daily,prop_base_1_diff,std_lwc,MS_Snow_daily,ISWR_dir,TA,prop_wet_3_diff,sum_up_3_diff,RH_daily,MS_Sublimation,max_height_2_diff,water_2_diff,TA_daily,ILWR_daily,prop_wet_1_diff,sum_base,prop_up_3_diff,MS_Rain_daily,OLWR_daily,profile_time,RF12_AvD_proba
10,2021-12-21,DAV4,4,2330,9.78470275758155,46.7841947486778,0,2021-12-21,0.0,43.3905,0.0,22.238125,0.0,205.051,43.3905,-104.54,0.0,15.220125,0.0,0.0,0.0,-34.333,90.961125,-0.1120410259206943,-1.2,0.0,0.0,-0.00325,238.143625,0.0,0.0,0.0,0.0,-0.025,-2.6099999999999994,0.0,270.488,0.0,30.143,0.0,0.0,0.0,0.0,0.0,0.0,-16.272750000000002,-0.5,85.14,-3.8700000000000045,-2.1700000000000017,85.239625,106.181125,0.0,0.0,0.0,0.0,-9.016,0.0,0.0,0.0,0.0,169.33,0.0,9.6,0.0,50.817,-0.6,103.537375,0.0,0.0,0.805,-8.09025,0.0,0.0,0.0,474.00300000000004,-1.7,-0.0643874643874644,-1.2000000000000002,10.6375,-0.013000000000000001,-1.9299999999999928,0.0,-2.0625,187.7385,0.0,0.0,-0.4121079504011676,0.0,242.351375,15:00:00,0.0009312047399605002
11,2022-01-10,DAV4,4,2330,9.78470275758155,46.7841947486778,0,2022-01-10,0.0,78.6225,0.0,10.306,0.0,230.878,78.6225,-37.211,0.0,21.83725,0.0,0.0,0.0,-8.885,72.858375,0.0,0.0,0.0,0.0,0.001875,276.345125,0.0,0.0,0.0,0.0,0.0,3.950000000000003,0.0,260.551,0.0,40.09,0.0,0.0,0.0,0.0,0.0,0.0,-16.044124999999998,-1.1099999999999994,102.22,0.0,0.0,102.584125,94.6955,0.0,0.0,0.0,0.0,-11.475999999999999,0.0,0.0,0.0,0.0,227.893,0.0,92.3,0.0,-4.0969999999999995,0.0,82.62475,0.0,0.0,0.882,5.699875000000001,0.0,0.0,0.0,442.06699999999995,-11.7,0.0,0.0,91.91249999999998,-0.003,2.0799999999999983,0.0,-11.8375,201.21625,0.0,0.0,0.0,0.0,243.122875,15:00:00,0.0
12,2022-04-09,DAV4,4,2330,9.78470275758155,46.7841947486778,0,,0.1460210526315788,70.336,-1.309999999999988,25.3935,0.0,0.0,70.336,-92.939,-0.075,73.40575000000003,0.4,-1.309999999999988,-2.8000000000000003,-12.872,141.392875,-0.3066843006059441,-9.1,0.0,-0.5,-0.0045,413.8745,2.5,0.0,11.1,0.0,-0.1344047619047619,1.7399999999999949,0.4000000000000057,287.27,-4.489999999999995,0.0,28.090000000000003,0.1580342222531677,-1.2999999999999998,0.0,0.1541666666666666,0.0,-8.193125,-1.3799999999999957,118.75,10.25,9.17999999999999,118.354125,214.798625,23.20000000000001,-0.4984975788543701,-0.1906523072252917,0.4,-5.011,0.4716569767441855,0.026000000000000002,0.0037185543196274,-5.4,198.292,-0.21625586854460105,54.7,0.059000000000000004,89.02600000000002,-0.6000000000000001,241.53125,0.4716569767441855,0.0,0.8370000000000001,-14.008125,0.0,0.5248574588520926,0.0,0.0,1.1,0.0130409654595422,-13.699999999999998,82.43,-0.005,0.269999999999996,-15.2,-6.915,233.21525,0.0226546995141227,0.0,-0.4363316109876249,0.0,274.04600000000005,0:00:00,0.033900898350490864
13,2022-01-17,DAV4,4,2330,9.78470275758155,46.7841947486778,0,2022-01-17,0.0,77.64200000000002,0.0,8.909125,0.0,254.44400000000002,77.64200000000002,-46.985,0.0,27.68125,0.0,0.0,-1.3,-6.419,61.411125,-0.0846689504412991,-1.2000000000000002,0.0,0.0,0.003,276.85375,0.0,0.0,0.0,0.0,-0.0214285714285714,0.6400000000000006,-5.8900000000000015,273.188,-1.4399999999999975,44.90600000000001,0.0,-0.4297352342158857,-0.4,0.0,0.0,0.0,-11.474875,1.7400000000000089,99.95,-6.040000000000006,-1.4800000000000042,99.549875,89.0925,0.0,-0.0914351661582654,0.0,0.0,-8.359,0.0,0.0,-0.0640493777193159,0.0,230.815,-0.0232142857142857,94.4,0.0,5.098,-0.4,61.8055,0.0,0.0,0.9,7.3345,0.0,0.0,0.0,454.337,-7.8,-0.0652502265632867,-1.2000000000000002,92.275,-0.0,1.1200000000000043,-1.3000000000000005,-8.237499999999999,219.35950000000003,0.0,0.0,-0.4605543710021322,0.0,260.84975,15:00:00,0.0008903692824171213
14,2022-01-09,DAV4,4,2330,9.78470275758155,46.7841947486778,0,2022-01-09,0.0,78.814625,0.0,6.475625,0.0,137.455,78.814625,-18.691,0.0,22.873375,0.0,0.0,0.0,-1.514,35.85925,0.0,0.0,0.0,0.0,0.001375,274.222375,0.0,0.0,0.0,0.0,0.0,4.469999999999999,0.0,263.944,0.0,92.91,0.0,0.0,0.0,0.0,0.0,0.0,-12.777999999999999,3.1899999999999977,103.33,0.0,0.0,102.204125,58.73262500000001,0.0,0.0,0.0,0.0,-10.628,0.0,0.0,0.0,0.0,250.252,0.0,99.1,0.0,-1.7109999999999999,0.0,67.05575,0.0,0.0,0.8959999999999999,3.2775000000000003,0.0,0.0,0.0,104.18799999999999,-10.8,0.0,0.0,91.8625,-0.001,5.060000000000001,0.0,-10.3375,227.667,0.0,0.0,0.0,0.0,255.54725,15:00:00,0.0
15,2022-01-23,DAV4,4,2330,9.78470275758155,46.7841947486778,0,2022-01-23,0.0,82.16275,0.0,13.880125,0.0,287.324,82.16275,-52.917,0.0,17.424125,0.0,0.0,0.0,-9.318,92.669,0.0,0.0,0.0,0.0,0.00275,288.728875,0.0,0.0,0.0,0.0,0.0,1.019999999999996,0.0,289.067,0.0,42.236999999999995,0.0,0.0,0.0,0.0,0.0,0.0,-12.192749999999998,1.9900000000000089,106.56,0.0,0.0,106.59000000000002,110.09325,0.0,0.0,0.0,0.0,-4.592,0.0,0.0,0.0,0.0,240.963,0.0,57.4,0.0,5.1370000000000005,0.0,118.531,0.0,0.0,0.867,7.677500000000001,0.0,0.0,0.0,502.75699999999995,-3.0,0.0,0.0,67.4875,-0.004,1.840000000000004,0.0,-4.7625,208.04125,0.0,0.0,0.0,0.0,258.115625,15:00:00,0.004798752221351279
16,2022-01-12,DAV4,4,2330,9.78470275758155,46.7841947486778,0,2022-01-12,0.0,78.304,0.0,18.676625,0.0,243.679,78.304,-86.14200000000002,0.0,16.2325,0.0,0.0,0.0,-33.911,88.663875,0.0,0.0,0.0,0.0,-0.013875,275.89387500000004,0.0,0.0,0.0,0.0,0.0,-2.9299999999999926,0.0,269.987,0.0,35.821,0.0,0.0,0.0,0.0,0.0,0.0,-14.046375,-1.3399999999999892,100.4,0.0,0.0,100.70237500000002,104.896375,0.0,0.0,0.0,0.0,-9.138,0.0,0.0,0.0,0.0,187.592,0.0,12.7,0.0,38.427,0.0,110.42525,0.0,0.0,0.8059999999999999,-33.85225,0.0,0.0,0.0,472.583,-4.2,0.0,0.0,12.499999999999998,-0.015,-1.8199999999999927,0.0,-5.237500000000002,170.956625,0.0,0.0,0.0,0.0,250.62537500000005,15:00:00,0.0
17,2022-01-29,DAV4,4,2330,9.78470275758155,46.7841947486778,0,2022-01-29,0.0,81.4865,0.0,16.404,0.0,322.249,81.4865,-51.863,0.0,35.764125,0.0,0.0,0.0,-17.026,73.29424999999998,0.0,0.0,0.0,0.0,-0.00925,290.080875,0.0,0.0,0.0,0.0,0.0,0.2099999999999937,0.0,294.2870000000001,0.0,47.371,0.0,0.0,0.0,0.0,0.0,0.0,-9.841125,-0.9100000000000108,105.57,0.0,0.0,105.855,109.05825,0.0,0.0,0.0,0.0,-3.388,0.0,0.0,0.0,0.0,247.36599999999999,0.0,24.4,0.0,2.0340000000000003,0.0,81.45825,0.0,0.0,0.8290000000000001,-21.112625,0.0,0.0,0.0,535.2230000000002,-2.7,0.0,0.0,34.7,-0.008,0.8299999999999983,0.0,-5.0,231.6295,0.0,0.0,0.0,0.0,267.434125,15:00:00,0.002331771720816435
18,2022-01-26,DAV4,4,2330,9.78470275758155,46.7841947486778,0,2022-01-26,0.0,81.80625,0.0,12.103875,0.0,289.6620000000001,81.80625,-54.946999999999996,0.0,18.946375,0.0,0.0,-0.3,-19.533,88.60062500000002,0.0,0.0,0.0,0.0,-0.00025,288.70175,0.0,0.0,0.0,0.0,0.0,-1.2000000000000028,-4.530000000000001,279.764,-2.200000000000003,53.282,0.0,-0.3170548459804657,-0.2,0.0,0.0,0.0,-12.153125,-0.2399999999999948,105.36,0.0,0.0,105.43312500000002,107.54700000000001,0.0,-0.0289096619904101,0.0,0.0,-6.78,0.0,0.0,-0.0397775473654444,0.0,229.399,-0.0050847457627118,40.2,0.0,24.711,0.0,119.787,0.0,0.0,0.883,-0.5855000000000006,0.0,0.0,0.0,472.18300000000016,-2.6,0.0,0.0,47.15,-0.0069999999999999,-0.730000000000004,-0.3,-2.7875,195.905375,0.0,0.0,0.0,0.0,258.1215,15:00:00,0.0
19,2022-02-15,DAV4,4,2330,9.78470275758155,46.7841947486778,0,,0.0,111.05962499999998,0.0,7.10775,0.0,199.27700000000002,111.05962499999998,-23.58,0.0,55.897875,0.0,0.0,0.0,-2.325,11.610999999999999,0.0,0.0,0.0,0.0,0.002375,381.000125,0.0,0.0,0.0,0.0,0.0,10.909999999999995,0.0,275.007,0.0,160.988,0.0,0.0,0.0,0.0,0.0,0.0,-8.598375,12.540000000000004,139.9,0.0,0.0,137.249,67.508875,0.0,0.0,0.0,0.0,-7.919,0.0,0.0,0.0,0.0,256.552,0.0,100.0,0.0,-1.4040000000000001,0.0,66.437375,0.0,0.0,0.8859999999999999,5.247000000000001,0.0,0.0,0.0,65.931,-8.0,0.0,0.0,99.025,-0.0,11.78,0.0,-7.5,250.07325,0.0,0.0,0.0,0.0,272.232375,15:00:00,0.004231474844731238
